	hemoglobin	leukocyty	etytr	weight	trombocyty	ast	alp	relationship	name	alt	hbver	smoker	erytrocyty	er-cv	indicator	ssn	hematokrit
0	6.77299	5.28153	4.79087	104.22450	7.22472	61.85014	80.77401	married	Kathryn Wagner	2.01576	9.04461	no	7.94417	61.31451	0.00000	887-91-9698	5.40103
1	6.35217	5.45245	3.34754	65.03608	7.00407	66.90722	90.01585	widowed	Frank Becker	0.81519	9.09262	no	5.33302	58.00624	0.00000	506-37-0250	7.68167
2	5.37162	7.36106	7.10989	63.61518	6.95232	65.33091	74.23784	married	Stephanie Lewis	0.79787	6.18215	no	6.38771	62.73102	1.00000	331-52-1241	6.27422
3	4.60987	8.04010	4.97779	30.35294	6.63243	67.33708	34.67995	married	Luis Williams	0.83917	5.22920	no	5.05640	62.60592	1.00000	407-22-7513	6.61263
4	5.97408	6.66899	5.58872	97.97181	6.18242	67.48751	89.31030	divoced	Donald Hall	1.20122	4.97805	yes	5.10205	59.32470	1.00000	486-30-7935	6.23117
5	7.34971	5.57226	5.25271	30.00974	7.56500	61.00132	68.36522	single	Sharon Hill	1.34568	6.48396	no	6.71240	53.22940	0.00000	568-90-5947	6.02427
6	5.67082	6.01309	6.24124	53.64868	8.78546	77.49459	91.19605	widowed	Austin Scott	1.44785	8.31468	no	7.25656	72.04721	1.00000	620-44-2437	6.52911
7	4.87059	5.20163	2.89997	57.19696	4.86970	61.85483	51.87394	divoced	Shannon Martinez	0.80818	9.94490	Y	5.47085	55.37212	0.00000	450-97-5597	6.97424
8	8.03022	5.94127	4.38418	147.11723	4.48174	70.56786	40.36402	widowed	Stephen Jackson	0.98837	8.40113	Y	4.39495	61.39515	0.00000	204-43-5463	7.88050
9	7.12174	5.08743	4.75468	78.65153	6.26092	74.44956	69.58834	single	Larry Carpenter	2.11537	8.88687	no	7.93927	36.31313	0.00000	265-29-6235	8.06370
10	7.25595	8.65505	5.81195	39.00206	5.65470	63.93849	69.16602	nop	Amy Cooper	1.55851	5.33539	no	4.56660	53.47989	1.00000	095-90-6133	6.54698
11	4.72554	6.24675	5.70153	94.41002	7.66369	61.65234	46.92905	nop	Nicole Ferrell	1.34677	8.21761	no	7.07530	56.73993	0.00000	311-87-5844	7.62457
12	7.82528	7.74952	2.98923	100.56745	6.11147	84.84675	49.98622	single	Thomas Barker	1.63465	5.98230	no	7.11119	51.46446	1.00000	104-54-4443	6.48282
13	5.99425	5.53641	4.54837	56.43744	7.12103	63.49983	92.22672	divoced	William Hart	1.23680	8.50001	no	6.52802	47.14194	0.00000	718-21-8326	7.31185
14	6.99074	6.20784	4.07376	99.38798	5.22544	65.25025	79.44178	married	Lisa Murray		8.68023	no	6.19322	43.59469	0.00000	253-03-7170	6.70916
