	name	sex	current_location	blood_group	residence	birthdate	race	ssn	address
0	Elizabeth Johnson	F	(Decimal('-64.545933'), Decimal('5.817377'))	B-	"319 Bradley Tunnel Suite 246
Boyerstad, GA 12067"	10/30/1938, 00:00:00	White	518-82-6493	"09441 Joyce Route Suite 717
West Megan, GA 12969"
1	Scott Holmes	M	(Decimal('-18.8183775'), Decimal('94.375497'))	A-	"28739 Hoffman Valleys Apt. 636
Michaelville, VA 87684"	1927-06-20	Black	015-03-8632	"USNS Miller
FPO AE 08377"
2	William Roth	M	(Decimal('35.903361'), Decimal('-133.029344'))	B-	"8623 Jordan Canyon Suite 498
Joshuastad, OH 32780"	1965-10-02	Black	898-78-8500	"7747 Nicole Wells
Shannonside, MI 84296"
3	Kimberly Barnes	F	(Decimal('55.2055095'), Decimal('-121.665483'))	B+	"Unit 0522 Box 6156
DPO AE 24368"	1962-02-14	White	478-72-0155	"228 Colleen Extension
Lake Morgan, AL 34806"
4	Sarah Escobar	F	(Decimal('49.512264'), Decimal('-121.259776'))	AB-	"30306 Molina Junction
Port Edwardview, OK 72746"	02 Oct 1936	Indian	683-31-6335	"08249 Gentry Fall
Lewisshire, NY 20037"
5	Ricky Moreno	M	(Decimal('84.8600505'), Decimal('-97.581981'))	B-	"50588 Flores Harbor Suite 031
Savageview, LA 57388"	1915/06/05	White	695-13-4957	"1533 Jonathon Village
South Jason, MN 91145"
6	Crystal Cline	F	(Decimal('49.515921'), Decimal('125.982145'))	B-	"Unit 1312 Box 1688
DPO AE 18796"	05 Aug 1925	White	642-34-7921	"2596 David Square Suite 217
Lake Cindyshire, CO 71183"
7	Bobby Hogan	M	(Decimal('-46.6514215'), Decimal('31.986758'))	B+	"5876 Poole Ferry Apt. 034
Lauriemouth, AK 20372"	2014/01/15	White	059-64-9506	"291 Stanton Hollow
East Jamesborough, TN 89919"
8	Mr. Bryan Black	M	(Decimal('-33.5097235'), Decimal('-20.945932'))	A-	"917 Karen Corners
Jasonshire, VT 93738"	1985-06-29	White	491-99-7830	"31526 Peggy Manors Apt. 451
Lake Daleberg, MI 29791"
9	Laura Sherman	F	(Decimal('-75.1336965'), Decimal('-161.714755'))	A+	"Unit 1412 Box 7859
DPO AA 13533"	1925-05-03	Asian	609-28-0101	"343 Cynthia Harbor
Meganburgh, NH 94856"
10	Jenna Estrada	F	(Decimal('43.887535'), Decimal('144.807263'))	AB+	"4600 Clark Bypass
New Claireberg, WA 15918"	04/01/2017, 00:00:00	Black	745-45-9678	"753 Erica Court
Boylechester, RI 10635"
11	Morgan Robertson	F	(Decimal('29.345839'), Decimal('-166.407050'))	A+	"9945 Brandi Neck Apt. 642
Lake Daniel, DC 94093"	1943/03/01	White	425-30-7288	"57143 Bishop Common
Claytonberg, DE 41135"
12	Cody Pearson	M	(Decimal('-57.0538515'), Decimal('74.692405'))	AB-	"PSC 9021, Box 9802
APO AA 62808"	16 Jan 1951	White	552-71-7288	"0698 Anderson Gateway Suite 721
Taylorport, MD 68234"
13	Melissa Hernandez	F	(Decimal('-25.479463'), Decimal('-42.939871'))	O+	"44456 Baker Viaduct Suite 004
Amandaberg, PA 03402"	18 Aug 1998	White	089-35-6563	"839 Johnson Heights
East Jessica, NE 13846"
14	Laura Fowler	F	(Decimal('-77.867012'), Decimal('118.670765'))	AB-	"8829 Travis Crossing Suite 740
Baileyton, WV 43621"	30 Jun 1978	White	416-93-8197	"Unit 9765 Box 1260
DPO AE 16449"
15	Nicholas Christensen	M	(Decimal('7.438324'), Decimal('-82.900566'))	B+	"3288 Miller Village
East Charles, NY 74735"	2007-10-11	White	332-14-1958	"403 Kenneth Heights
North Cherylview, MN 96246"
16	Nicole Guzman	F	(Decimal('25.2570205'), Decimal('47.518182'))	B-	"30598 Williams Forks
Kevinside, CT 93261"	11/23/1946, 00:00:00	White	672-37-4135	"108 Russell Corner Suite 295
Davidberg, AR 79511"
17	Christopher Douglas	M	(Decimal('-17.6870385'), Decimal('-1.297346'))	A+	"42071 Rocha Ramp
North Jasonstad, FL 44680"	02/28/2019, 00:00:00	Indian	350-57-6466	"36776 Marsh Route Apt. 777
South Michaeltown, GA 26436"
18	Deborah Richard	F	(Decimal('35.987169'), Decimal('-59.189781'))	B+	"15597 Lindsay Fork Apt. 599
Lake Timothymouth, NV 04522"	1954/12/09	Black	171-78-1805	"32308 Howe Drive
Morantown, SC 93183"
19	Natalie Rivera	F	(Decimal('-31.8238505'), Decimal('87.365545'))	AB-	"270 Richard Coves Apt. 951
Michelleshire, TN 47151"	1921/06/24	Hawaiian	127-02-5964	"05353 Evans Prairie
Lake Anita, VT 95959"
20	Karen Ford	F	(Decimal('-0.188191'), Decimal('-75.990368'))	A-	"008 Stevens Flat
Charlenemouth, OH 18649"	01/13/1977, 00:00:00	black	538-16-4652	"0885 Shelby Inlet Apt. 963
Cameronmouth, OR 57670"
21	Stanley Martin	M	(Decimal('-83.9839115'), Decimal('-106.519833'))	B+	"981 Moreno Bridge
Oconnellmouth, AR 91380"	09/23/1959, 00:00:00	White	318-18-3976	"9913 Schroeder Point Suite 896
Pamelaville, NC 29647"
22	Christie Giles	F	(Decimal('1.5021775'), Decimal('165.962300'))	AB+	"87977 Brian Pike Apt. 163
North Kevin, ME 56980"	1922-07-14	White	328-56-7521	"89025 Gilbert Groves Apt. 597
Nicholasmouth, AZ 75802"
23	Caitlyn Martin	F	(Decimal('-18.463967'), Decimal('-55.677681'))	B+	"282 Holmes Park Suite 852
South Stephaniefort, WI 14519"	1945/01/03	Asian	635-85-8840	"PSC 0634, Box 0900
APO AP 62106"
24	Terry Manning	M	(Decimal('84.503501'), Decimal('114.739570'))	AB+	"USCGC Knox
FPO AP 00639"	24 Feb 1975	White	153-79-7348	"71149 Smith Parkway
West Markfurt, WV 01371"
25	Alan Johnson	M	(Decimal('46.1035865'), Decimal('-44.127985'))	A+	"PSC 7766, Box 7650
APO AE 22264"	09/01/1929, 00:00:00	White	546-94-9544	"84933 Jamie Common Suite 337
Lindahaven, AL 10457"
26	Michael Martin	M	(Decimal('-75.077614'), Decimal('-163.313938'))	O+	"04635 Timothy Expressway
Port Stacey, CA 83980"	13 Apr 1945	Black	626-56-5376	"66069 Shannon Stravenue
West Catherinestad, NC 41752"
27	Sydney Riley	F	(Decimal('52.289521'), Decimal('-165.093291'))	AB+	"3149 Johnson Viaduct Apt. 122
South Jessica, MA 24711"	1945-05-27	Black	172-74-2105	"55049 Olson Prairie
South Andre, TN 33692"
28	Jennifer Skinner	F	(Decimal('8.708232'), Decimal('-96.418538'))	AB+	"864 Shane Rest Apt. 696
Eatonfurt, IL 69197"	1939-10-09	White	163-15-7219	"227 Savage Forks Suite 453
New Nicolefurt, SD 31188"
29	Gabrielle Ryan	F	(Decimal('-44.780578'), Decimal('158.234189'))	B+	"75110 Cooper Spring
Heatherview, NH 57543"	1914-08-21	Asian	248-45-3707	"128 Mark Mall Apt. 731
Adamshire, SD 74068"
30	Martin Hensley	M	(Decimal('-11.5321005'), Decimal('77.704982'))	B+	"Unit 7018 Box 4272
DPO AE 31037"	1987/01/31	White	170-64-2702	"346 Kevin Path
Reneeshire, OK 42816"
31	Nicole Rodgers	F	(Decimal('-47.817722'), Decimal('175.442075'))	O+	"7970 Jordan Plains Suite 116
Port Gabrielberg, KY 33367"	21 Oct 2013	Black	531-22-6110	"0294 Dean Valley
North Andrewfort, VT 32650"
32	Leslie Parks	F	(Decimal('-88.6398605'), Decimal('-127.505414'))	O-	"477 Elizabeth Village
Clarkville, SC 21015"	29 Jun 2000	White	685-62-6812	"414 Rachel Ferry Suite 223
New Wesleymouth, SD 80051"
33	Mariah Jacobs	F	(Decimal('72.014945'), Decimal('127.885909'))	O-	"28430 Lisa Forges
Lake Zachary, WV 61346"	07/19/1961, 00:00:00	Hawaiian	171-11-2126	"USNS Briggs
FPO AE 18438"
34	Mary Gross	F	(Decimal('68.4852655'), Decimal('-51.164399'))	AB-	"82527 Amanda Ville
Santosside, MA 26259"	1961/10/05	Asian	056-80-6524	"72577 James Crescent
Lake Toddview, KY 66196"
35	Justin Brown	M	(Decimal('33.5460015'), Decimal('75.602753'))	A-	"417 Patricia Club Suite 436
East Daniel, NM 14208"	02/22/1956, 00:00:00	White	739-12-4229	"9072 Patrick Ridges Suite 691
Morganton, NM 15386"
36	Robert Robinson	M	(Decimal('84.1167205'), Decimal('119.006480'))	A-	"29939 Phillip Hill
New Carrie, PA 38498"	12/18/1975, 00:00:00	Black	874-09-3856	"019 Bowen Pine Suite 241
Port David, OR 84265"
37	Christopher Martin	M	(Decimal('37.1059265'), Decimal('147.224786'))	B+	"286 Williams Shoals
East Rachelburgh, MN 57999"	1994/04/29	White	171-38-1467	"62106 Harris Islands
Salazarfurt, LA 80481"
38	Amy Jones	F	(Decimal('-46.2015875'), Decimal('49.470617'))	B+	"7190 Kristy Loop Apt. 473
North Josephville, NE 14035"	01/22/1987, 00:00:00	White	030-68-1795	"PSC 8964, Box 0699
APO AE 85339"
39	John Castro	M	(Decimal('50.9931295'), Decimal('5.217516'))	A-	"055 Johnson Passage Suite 710
Annachester, OR 76648"	11/09/1944, 00:00:00	Asian	557-13-2333	"83388 Gomez Junction Apt. 413
Kevinburgh, NC 83906"
40	Phillip Davis	M	(Decimal('45.938157'), Decimal('98.541674'))	AB-	"8580 Thompson Circle
Sparksside, MO 06652"	29 Jun 1924	Black	067-36-1253	"6029 Dixon Path
North Jonathonbury, AR 21420"
41	Kelly Pierce	F	(Decimal('-13.6852335'), Decimal('44.690407'))	O-	"575 William Mill
Lake Sarah, OK 28956"	1967-07-20	Asian	518-30-6551	"038 Burton Ferry
Port Claudiaberg, NC 73565"
42	William Gomez	M	(Decimal('-7.358721'), Decimal('7.082813'))	B-	"31294 Gregory Streets Apt. 499
West Brianna, NE 58302"	27 Aug 2007	Black	314-46-7967	"4572 Prince Locks
Lake William, NY 21513"
43	William Hill	M	(Decimal('7.315242'), Decimal('-119.629712'))	O-	"492 Lisa Ranch Apt. 404
Victoriamouth, CO 68824"	1995-11-28	Asian	458-02-8566	"2701 Raymond Plain Suite 291
Baileymouth, SD 34771"
44	Douglas Moore	M	(Decimal('-68.656517'), Decimal('9.236480'))	B+	"3652 Santos Freeway
Lake Robert, DE 47401"	1957/06/15	White	588-20-8630	"6981 Erin Garden
Jesuston, NH 98718"
